turbine_id,line_id,section_id,diameter,length,thickness,mass,cost_rate
  14, B, chain_top      ,  0.091, 186.868,    0.0, 30.949, 80003.265
   9, A, chain_top      ,  0.091, 169.794,    0.0, 28.121, 72693.304
  33, B, chain_top      ,  0.091, 187.067,    0.0, 30.982, 80088.406
   1, A, chain_top      ,  0.091, 171.647,    0.0, 28.428, 73486.991
   9, A, chain_bottom   ,  0.091, 237.423,    0.0, 39.322, 101647.533
   1, A, chain_top      ,  0.091, 171.647,    0.0, 28.428, 73486.991
  14, B, chain_bottom   ,  0.091, 260.503,    0.0, 43.145, 111528.707
   1, A, chain_bottom   ,  0.091, 240.318,    0.0, 39.801, 102886.767
  33, B, chain_bottom   ,  0.091, 260.732,    0.0, 43.182, 111626.520
   1, A, chain_bottom   ,  0.091, 240.318,    0.0, 39.801, 102886.767
   9, A, chain_bottom   ,  0.091, 237.423,    0.0, 39.322, 101647.533
  14, B, chain_top      ,  0.091, 186.868,    0.0, 30.949, 80003.265
  33, B, chain_top      ,  0.091, 187.067,    0.0, 30.982, 80088.406
  33, B, chain_bottom   ,  0.091, 260.732,    0.0, 43.182, 111626.520
  14, B, chain_bottom   ,  0.091, 260.503,    0.0, 43.145, 111528.707
   9, A, chain_top      ,  0.091, 169.794,    0.0, 28.121, 72693.304
  15, B, chain_top      ,  0.092, 184.301,    0.0, 31.198, 80648.079
  15, B, chain_bottom   ,  0.092, 257.483,    0.0, 43.587, 112671.690
  15, B, chain_top      ,  0.092, 184.301,    0.0, 31.198, 80648.079
  15, B, chain_bottom   ,  0.092, 257.483,    0.0, 43.587, 112671.690
  15, C, chain_bottom   ,  0.093, 237.920,    0.0, 41.155, 106386.713
  10, C, chain_top      ,  0.093, 172.056,    0.0, 29.762, 76935.365
  13, B, chain_top      ,  0.093, 183.262,    0.0, 31.701, 81946.336
  13, B, chain_bottom   ,  0.093, 256.221,    0.0, 44.321, 114570.281
  10, C, chain_top      ,  0.093, 172.056,    0.0, 29.762, 76935.365
  13, B, chain_top      ,  0.093, 183.262,    0.0, 31.701, 81946.336
  10, C, chain_bottom   ,  0.093, 240.941,    0.0, 41.678, 107737.551
  13, B, chain_bottom   ,  0.093, 256.221,    0.0, 44.321, 114570.281
  10, C, chain_bottom   ,  0.093, 240.941,    0.0, 41.678, 107737.551
   9, C, chain_bottom   ,  0.093, 238.272,    0.0, 41.216, 106544.173
