turbine_id,line_id,section_id,diameter,length,thickness,mass,cost_rate
1,A,chain_bottom,0.128,240.3,0,78.75,0
1,B,chain_bottom,0.145,222.9,0,93.73,0
1,C,chain_bottom,0.149,204.2,0,90.67,0
2,A,chain_bottom,0.125,246.2,0,76.93,0
2,B,chain_bottom,0.146,222,0,94.62,0
2,C,chain_bottom,0.145,213.4,0,89.72,0
3,A,chain_bottom,0.125,247.1,0,77.22,0
3,B,chain_bottom,0.141,232.9,0,92.62,0
3,C,chain_bottom,0.147,209.3,0,90.47,0
4,A,chain_bottom,0.157,232.2,0,114.47,0
4,B,chain_bottom,0.117,249.2,0,68.21,0
4,C,chain_bottom,0.117,237.3,0,64.98,0
5,A,chain_bottom,0.151,243.3,0,110.97,0
5,B,chain_bottom,0.111,262.2,0,64.61,0
5,C,chain_bottom,0.113,251.1,0,64.13,0
6,A,chain_bottom,0.148,250,0,109.54,0
6,B,chain_bottom,0.115,254.1,0,67.22,0
6,C,chain_bottom,0.11,266.1,0,64.39,0
7,A,chain_bottom,0.152,242.9,0,112.26,0
7,B,chain_bottom,0.118,247.7,0,68.97,0
7,C,chain_bottom,0.112,258.6,0,64.87,0
8,A,chain_bottom,0.156,233.1,0,113.46,0
8,B,chain_bottom,0.123,237.3,0,71.79,0
8,C,chain_bottom,0.112,255.7,0,64.14,0
9,A,chain_bottom,0.129,237.4,0,79.02,0
9,B,chain_bottom,0.138,239.2,0,91.12,0
9,C,chain_bottom,0.132,238.3,0,83.03,0
10,A,chain_bottom,0.126,243.8,0,77.41,0
10,B,chain_bottom,0.138,239,0,91.04,0
10,C,chain_bottom,0.131,240.9,0,82.7,0
11,A,chain_bottom,0.121,253.9,0,74.34,0
11,B,chain_bottom,0.135,246.2,0,89.74,0
11,C,chain_bottom,0.115,268.5,0,71.01,0
12,A,chain_bottom,0.12,256.5,0,73.89,0
12,B,chain_bottom,0.127,263.2,0,84.9,0
12,C,chain_bottom,0.122,256.3,0,76.28,0
13,A,chain_bottom,0.116,264.1,0,71.09,0
13,B,chain_bottom,0.131,256.2,0,87.94,0
13,C,chain_bottom,0.121,258.1,0,75.57,0
14,A,chain_bottom,0.116,265.1,0,71.34,0
14,B,chain_bottom,0.129,260.5,0,86.7,0
14,C,chain_bottom,0.126,250.6,0,79.58,0
