turbine_id,line_id,section_id,diameter,length,thickness,mass,cost_rate
   9, A, chain_bottom   ,  0.103, 237.423,    0.0, 50.376, 130223.244
  33, C, chain_bottom   ,  0.103, 230.454,    0.0, 48.898, 126400.638
  33, B, chain_top      ,  0.103, 187.067,    0.0, 39.692, 102603.297
   1, A, chain_bottom   ,  0.103, 240.318,    0.0, 50.991, 131810.857
  15, B, chain_top      ,  0.103, 184.301,    0.0, 39.105, 101086.421
  10, B, chain_top      ,  0.103, 170.812,    0.0, 36.243, 93688.110
  37, A, chain_bottom   ,  0.103, 263.016,    0.0, 55.807, 144260.681
  35, C, chain_bottom   ,  0.103, 215.982,    0.0, 45.827, 118462.802
  33, B, chain_bottom   ,  0.103, 260.732,    0.0, 55.322, 143007.577
  36, B, chain_bottom   ,  0.103, 239.359,    0.0, 50.787, 131284.717
  36, C, chain_bottom   ,  0.103, 215.382,    0.0, 45.700, 118133.993
   1, A, chain_top      ,  0.103, 171.647,    0.0, 36.420, 94146.055
  39, A, chain_bottom   ,  0.103, 261.050,    0.0, 55.390, 143182.221
  40, A, chain_bottom   ,  0.103, 255.563,    0.0, 54.225, 140172.678
   1, B, chain_top      ,  0.103, 161.485,    0.0, 34.264, 88572.349
  40, A, chain_top      ,  0.103, 182.728,    0.0, 38.771, 100223.524
  39, A, chain_top      ,  0.103, 187.345,    0.0, 39.751, 102755.937
  35, B, chain_bottom   ,  0.103, 230.699,    0.0, 48.950, 126535.140
  37, A, chain_top      ,  0.103, 189.093,    0.0, 40.122, 103714.829
  26, A, chain_bottom   ,  0.103, 258.874,    0.0, 54.928, 141988.340
  24, A, chain_bottom   ,  0.103, 263.261,    0.0, 55.859, 144394.718
   2, C, chain_bottom   ,  0.103, 213.356,    0.0, 45.270, 117022.721
   3, B, chain_bottom   ,  0.103, 232.925,    0.0, 49.422, 127756.014
   9, A, chain_bottom   ,  0.103, 237.423,    0.0, 50.376, 130223.244
   9, B, chain_bottom   ,  0.103, 239.232,    0.0, 50.760, 131215.022
   9, C, chain_bottom   ,  0.103, 238.272,    0.0, 50.557, 130688.765
  10, B, chain_bottom   ,  0.103, 239.028,    0.0, 50.717, 131103.441
  10, C, chain_bottom   ,  0.103, 240.941,    0.0, 51.123, 132152.581
  25, A, chain_bottom   ,  0.103, 261.542,    0.0, 55.494, 143452.156
  11, B, chain_bottom   ,  0.103, 246.203,    0.0, 52.239, 135038.908
  15, B, chain_bottom   ,  0.103, 257.483,    0.0, 54.633, 141225.657
  34, A, chain_bottom   ,  0.103, 229.625,    0.0, 48.722, 125945.704
  15, C, chain_bottom   ,  0.103, 237.920,    0.0, 50.482, 130495.622
  16, B, chain_bottom   ,  0.103, 248.212,    0.0, 52.666, 136140.523
  16, C, chain_bottom   ,  0.103, 239.700,    0.0, 50.860, 131472.042
  22, A, chain_bottom   ,  0.103, 261.338,    0.0, 55.451, 143340.109
  23, A, chain_bottom   ,  0.103, 263.385,    0.0, 55.885, 144462.667
  13, B, chain_bottom   ,  0.103, 256.221,    0.0, 54.365, 140533.716
  36, C, chain_top      ,  0.103, 157.740,    0.0, 33.469, 86518.037
  34, C, chain_bottom   ,  0.103, 214.626,    0.0, 45.539, 117719.317
  35, C, chain_top      ,  0.103, 158.026,    0.0, 33.530, 86674.818
   2, C, chain_top      ,  0.103, 156.789,    0.0, 33.267, 85996.486
   3, B, chain_top      ,  0.103, 167.050,    0.0, 35.445, 91624.534
  11, B, chain_top      ,  0.103, 175.648,    0.0, 37.269, 96340.545
  10, C, chain_top      ,  0.103, 172.056,    0.0, 36.507, 94370.134
  26, A, chain_top      ,  0.103, 185.469,    0.0, 39.353, 101726.755
   9, B, chain_top      ,  0.103, 170.943,    0.0, 36.271, 93759.816
  15, C, chain_top      ,  0.103, 170.106,    0.0, 36.093, 93300.909
  34, A, chain_bottom   ,  0.103, 229.625,    0.0, 48.722, 125945.704
  25, A, chain_top      ,  0.103, 187.778,    0.0, 39.843, 102993.296
  16, B, chain_top      ,  0.103, 177.090,    0.0, 37.575, 97131.081
  24, A, chain_top      ,  0.103, 189.314,    0.0, 40.169, 103836.001
  16, C, chain_top      ,  0.103, 171.246,    0.0, 36.335, 93925.734
  23, A, chain_top      ,  0.103, 189.426,    0.0, 40.192, 103897.599
  14, B, chain_top      ,  0.103, 186.868,    0.0, 39.650, 102494.221
  22, A, chain_top      ,  0.103, 187.598,    0.0, 39.804, 102894.559
  13, B, chain_top      ,  0.103, 183.262,    0.0, 38.885, 100516.670
   9, C, chain_top      ,  0.103, 170.330,    0.0, 36.141, 93423.327
