,cost,supply_storage,agent,action,duration,level,time,phase,transport_storage,delivered,port_storage,port_area
0,0.0,1.0,Chain Production 1,"1, Manufacture: chain_bottom_d0.083",7.0,ACTION,7.0,MooringSystemSupplyChain,,,,
1,0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,7.0,ACTION,7.0,MooringSystemSupplyChain,,,,
2,0.0,,Chain Transport Railcar,"Loading Chain, 1",0.0,ACTION,7.0,MooringSystemSupplyChain,1.0,,,
3,0.0,1.0,Chain Production 1,"2, Manufacture: chain_bottom_d0.084",6.982499999999999,ACTION,13.982499999999998,MooringSystemSupplyChain,,,,
4,0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,6.982499999999998,ACTION,13.982499999999998,MooringSystemSupplyChain,,,,
5,0.0,,Chain Transport Railcar,"Loading Chain, 2",0.0,ACTION,13.982499999999998,MooringSystemSupplyChain,2.0,,,
6,0.0,1.0,Chain Production 1,"3, Manufacture: chain_bottom_d0.096",6.72,ACTION,20.702499999999997,MooringSystemSupplyChain,,,,
7,0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,6.719999999999999,ACTION,20.702499999999997,MooringSystemSupplyChain,,,,
8,0.0,,Chain Transport Railcar,"Loading Chain, 3",0.0,ACTION,20.702499999999997,MooringSystemSupplyChain,3.0,,,
9,0.0,1.0,Chain Production 1,"4, Manufacture: chain_bottom_d0.096",6.702499999999999,ACTION,27.404999999999994,MooringSystemSupplyChain,,,,
10,0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,6.702499999999997,ACTION,27.404999999999994,MooringSystemSupplyChain,,,,
11,0.0,,Chain Transport Railcar,"Loading Chain, 4",0.0,ACTION,27.404999999999994,MooringSystemSupplyChain,4.0,,,
12,0.0,1.0,Chain Production 1,"5, Manufacture: chain_bottom_d0.071",6.9125,ACTION,34.317499999999995,MooringSystemSupplyChain,,,,
13,0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,6.912500000000001,ACTION,34.317499999999995,MooringSystemSupplyChain,,,,
14,0.0,,Chain Transport Railcar,"Loading Chain, 5",0.0,ACTION,34.317499999999995,MooringSystemSupplyChain,5.0,,,
15,0.0,1.0,Chain Production 1,"6, Manufacture: chain_bottom_d0.071",6.9475,ACTION,41.26499999999999,MooringSystemSupplyChain,,,,
