cost,supply_storage,agent,action,duration,level,time,phase,transport_storage,delivered,port_storage,port_area
0.0,1.0,Chain Production 1,"1, Manufacture: chain_bottom_d0.067",8.916864449304764,ACTION,8.916864449304764,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,8.916864449304764,ACTION,8.916864449304764,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,8.916864449304764,MooringSystemSupplyChain,1.0,,,
0.0,1.0,Chain Production 1,"2, Manufacture: chain_top_d0.067",25.951926450260846,ACTION,34.86879089956561,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,25.951926450260846,ACTION,34.86879089956561,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,34.86879089956561,MooringSystemSupplyChain,2.0,,,
0.0,1.0,Chain Production 1,"3, Manufacture: chain_top_d0.067",25.97035399094044,ACTION,60.83914489050605,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,25.97035399094044,ACTION,60.83914489050605,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,60.83914489050605,MooringSystemSupplyChain,3.0,,,
0.0,1.0,Chain Production 1,"4, Manufacture: chain_top_d0.067",25.97396637302886,ACTION,86.8131112635349,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,25.97396637302886,ACTION,86.8131112635349,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,86.8131112635349,MooringSystemSupplyChain,4.0,,,
0.0,1.0,Ropes Production 1,"1, Manufacture: polyester_d0.117",87.6,ACTION,87.6,MooringSystemSupplyChain,,,,
0.0,,Rope Transport Railcar,Delay: Waiting for Rope to load.,87.6,ACTION,87.6,MooringSystemSupplyChain,,,,
0.0,,Rope Transport Railcar,Loading Rope,0.0,ACTION,87.6,MooringSystemSupplyChain,1.0,,,
0.0,1.0,Chain Production 1,"5, Manufacture: chain_top_d0.067",25.941222440945054,ACTION,112.75433370447996,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,25.941222440945054,ACTION,112.75433370447996,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,112.75433370447996,MooringSystemSupplyChain,5.0,,,
0.0,1.0,Chain Production 1,"6, Manufacture: chain_bottom_d0.067",8.876063036001687,ACTION,121.63039674048164,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,8.876063036001682,ACTION,121.63039674048164,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,121.63039674048164,MooringSystemSupplyChain,6.0,,,
0.0,1.0,Chain Production 1,"7, Manufacture: chain_bottom_d0.067",8.910189269272138,ACTION,130.54058600975378,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,8.910189269272138,ACTION,130.54058600975378,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,130.54058600975378,MooringSystemSupplyChain,7.0,,,
0.0,1.0,Chain Production 1,"8, Manufacture: chain_bottom_d0.067",8.856182562065765,ACTION,139.39676857181954,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,8.856182562065754,ACTION,139.39676857181954,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,139.39676857181954,MooringSystemSupplyChain,8.0,,,
0.0,1.0,Chain Production 1,"9, Manufacture: chain_bottom_d0.068",8.660290987860687,ACTION,148.05705955968023,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,8.66029098786069,ACTION,148.05705955968023,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,148.05705955968023,MooringSystemSupplyChain,9.0,,,
0.0,1.0,Chain Production 1,"10, Manufacture: chain_bottom_d0.068",8.648613828058568,ACTION,156.70567338773878,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,8.648613828058558,ACTION,156.70567338773878,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,156.70567338773878,MooringSystemSupplyChain,10.0,,,
0.0,1.0,Ropes Production 1,"2, Manufacture: polyester_d0.117",87.6,ACTION,175.2,MooringSystemSupplyChain,,,,
0.0,,Rope Transport Railcar,Delay: Waiting for Rope to load.,87.6,ACTION,175.2,MooringSystemSupplyChain,,,,
0.0,,Rope Transport Railcar,Loading Rope,0.0,ACTION,175.2,MooringSystemSupplyChain,2.0,,,
0.0,1.0,Anchors Production 1,"1, Manufacture: suction_anchor_d1.24",182.5,ACTION,182.5,MooringSystemSupplyChain,,,,
0.0,1.0,Anchors Production 2,"1, Manufacture: suction_anchor_d2.21",182.5,ACTION,182.5,MooringSystemSupplyChain,,,,
0.0,,Anchor Transport Vessel,Delay: Waiting for Anchor to load.,182.5,ACTION,182.5,MooringSystemSupplyChain,,,,
0.0,,Anchor Transport Vessel,Loading Anchor,0.0,ACTION,182.5,MooringSystemSupplyChain,1.0,,,
0.0,,Anchor Transport Vessel,Loading Anchor,0.0,ACTION,182.5,MooringSystemSupplyChain,2.0,,,
0.0,1.0,Chain Production 1,"11, Manufacture: chain_top_d0.068",25.82585533910996,ACTION,182.53152872684873,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,25.82585533910995,ACTION,182.53152872684873,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,182.53152872684873,MooringSystemSupplyChain,11.0,,,
0.0,1.0,Chain Production 1,"12, Manufacture: chain_top_d0.068",25.82512833935925,ACTION,208.356657066208,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,25.825128339359253,ACTION,208.356657066208,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,208.356657066208,MooringSystemSupplyChain,12.0,,,
0.0,1.0,Chain Production 1,"13, Manufacture: chain_top_d0.068",25.65790149968382,ACTION,234.0145585658918,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Delay: Waiting for Chain to load.,25.657901499683817,ACTION,234.0145585658918,MooringSystemSupplyChain,,,,
0.0,,Chain Transport Railcar,Loading Chain,0.0,ACTION,234.0145585658918,MooringSystemSupplyChain,13.0,,,
0.0,1.0,Chain Production 1,"14, Manufacture: chain_top_d0.068",25.836960187246827,ACTION,259.85151875313863,MooringSystemSupplyChain,,,,
