,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
1,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
2,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
3,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
9,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,8.0,GravityBasedInstallation,,,,,,,,
15,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,20.0,GravityBasedInstallation,,,,,,,,
19,,Turbine Assembly Line 1,Delay,6.0,0.0,ACTION,26.0,GravityBasedInstallation,,,,,,,,
20,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,30.0,GravityBasedInstallation,,,,,,,,
23,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,34.0,GravityBasedInstallation,,,,,,,,
31,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,46.0,GravityBasedInstallation,,,,,,,,
34,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,49.5,GravityBasedInstallation,,,,,,,,
63,,Turbine Assembly Line 1,Delay,35.0,0.0,ACTION,84.5,GravityBasedInstallation,,,,,,,,
64,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,88.0,GravityBasedInstallation,,,,,,,,
67,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,91.5,GravityBasedInstallation,,,,,,,,
81,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,115.5,GravityBasedInstallation,,,,,,,,
112,,Turbine Assembly Line 1,Delay,129.0,0.0,ACTION,244.5,GravityBasedInstallation,,,,,,,,
133,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,316.5,GravityBasedInstallation,,,,,,,,
134,,Towing Group 1,Delay: No Completed Assemblies Available,316.5,1484226.75,ACTION,316.5,GravityBasedInstallation,,,,,,,3.0,
135,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,316.5,0.0,ACTION,316.5,GravityBasedInstallation,,,,,,,,
136,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,316.5,GravityBasedInstallation,,,,,,,,
141,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,324.5,GravityBasedInstallation,,,,,,,,
147,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,336.5,GravityBasedInstallation,,,,,,,3.0,0.0
148,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,336.5,GravityBasedInstallation,,,,,,,,
149,0.5,Multi-Purpose AHTS Vessel,Mobilize,72.0,160780.5,ACTION,336.5,GravityBasedInstallation,,,,,,,,
150,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,340.5,GravityBasedInstallation,,,,,,,,
153,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,344.5,GravityBasedInstallation,,,,,,,,
154,,Multi-Purpose AHTS Vessel,Transit,8.571428571428571,38281.07142857143,ACTION,345.07142857142856,GravityBasedInstallation,,,,,,,,
155,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,350.07142857142856,GravityBasedInstallation,,,,,,,,
156,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,351.07142857142856,GravityBasedInstallation,,,,,,,,
158,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,356.5,GravityBasedInstallation,,,,,,,,
160,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,360.0,GravityBasedInstallation,,,,,,,,
162,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,363.07142857142856,GravityBasedInstallation,,,,,,,,
163,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,363.5,GravityBasedInstallation,,,,,,,,
165,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,367.0,GravityBasedInstallation,,,,,,,,
