,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
1,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
2,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
3,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
4,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
22,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,20.0,GravityBasedInstallation,,,,3.0,0.0,,,,
23,0.5,Multi-Purpose AHTS Vessel,Mobilize,72.0,160780.5,ACTION,20.0,GravityBasedInstallation,,,,,,,,,
25,,Multi-Purpose AHTS Vessel,Transit,3.0,13398.375,ACTION,23.0,GravityBasedInstallation,,,,,,,,,
26,,Multi-Purpose AHTS Vessel,Delay,1.0,4466.125,ACTION,24.0,GravityBasedInstallation,,,,,,,,,
31,,Multi-Purpose AHTS Vessel,Transit,1.0,4466.125,ACTION,25.0,GravityBasedInstallation,,,,,,,,,
32,,Multi-Purpose AHTS Vessel,Delay,1.0,4466.125,ACTION,26.0,GravityBasedInstallation,,,,,,,,,
36,,Multi-Purpose AHTS Vessel,Transit,4.571428571428571,20416.571428571428,ACTION,30.57142857142857,GravityBasedInstallation,,,,,,,,,
42,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,35.57142857142857,GravityBasedInstallation,,,,,,,,,
43,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,36.57142857142857,GravityBasedInstallation,,,,,,,,,
53,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,48.57142857142857,GravityBasedInstallation,,,,,,,,,
62,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,54.57142857142857,GravityBasedInstallation,,,,,,,,,
63,,Towing Group 1,Positioning Support,34.57142857142857,54040.90476190476,ACTION,54.57142857142857,GravityBasedInstallation,,,,1.0,,site,,,
77,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,63.14285714285714,GravityBasedInstallation,,,,3.0,0.0,,,,
78,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,63.14299999994354,0.0,ACTION,63.14299999994354,GravityBasedInstallation,,,,,,,,,
79,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,63.14299999994354,GravityBasedInstallation,,,,,,,,,
91,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,83.14285714285714,GravityBasedInstallation,,,,3.0,0.0,,,,
92,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.57142857142857,127603.57142857142,ACTION,83.14285714285714,GravityBasedInstallation,,,,,,Site,,,
100,,Multi-Purpose AHTS Vessel,Delay,15.0,66991.875,ACTION,98.14285714285714,GravityBasedInstallation,,,,,,,,,
110,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,103.14285714285714,GravityBasedInstallation,,,,,,,,,
112,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,104.14285714285714,GravityBasedInstallation,,,,,,,,,
123,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,116.14285714285714,GravityBasedInstallation,,,,,,,,,
128,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,122.14285714285714,GravityBasedInstallation,,,,,,,,,
129,,Towing Group 1,Positioning Support,39.0,60963.5,ACTION,122.14285714285714,GravityBasedInstallation,,,,1.0,,site,,,
136,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,130.71428571428572,GravityBasedInstallation,,,,3.0,0.0,,,,
137,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,67.57200000031655,0.0,ACTION,130.7150000002601,GravityBasedInstallation,,,,,,,,,
138,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,130.7150000002601,GravityBasedInstallation,,,,,,,,,
