,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
1,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
2,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
3,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
4,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
5,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,
9,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,8.0,GravityBasedInstallation,,,,,,,,
10,,Turbine Assembly Line 2,Move Substructure,8.0,0.0,ACTION,8.0,GravityBasedInstallation,,,,,,,,
16,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,20.0,GravityBasedInstallation,,,,,,,,
17,,Turbine Assembly Line 2,Prepare for Turbine Assembly,12.0,0.0,ACTION,20.0,GravityBasedInstallation,,,,,,,,
20,,Turbine Assembly Line 1,Delay,6.0,0.0,ACTION,26.0,GravityBasedInstallation,,,,,,,,
21,,Turbine Assembly Line 2,Delay,6.0,0.0,ACTION,26.0,GravityBasedInstallation,,,,,,,,
22,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,30.0,GravityBasedInstallation,,,,,,,,
23,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,30.0,GravityBasedInstallation,,,,,,,,
26,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,34.0,GravityBasedInstallation,,,,,,,,
27,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,34.0,GravityBasedInstallation,,,,,,,,
31,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,46.0,GravityBasedInstallation,,,,,,,,
32,,Turbine Assembly Line 2,Lift and Attach Nacelle,12.0,0.0,ACTION,46.0,GravityBasedInstallation,,,,,,,,
35,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,49.5,GravityBasedInstallation,,,,,,,,
36,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,49.5,GravityBasedInstallation,,,,,,,,
55,,Turbine Assembly Line 1,Delay,35.0,0.0,ACTION,84.5,GravityBasedInstallation,,,,,,,,
56,,Turbine Assembly Line 2,Delay,35.0,0.0,ACTION,84.5,GravityBasedInstallation,,,,,,,,
