,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
1,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
2,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
3,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
4,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
5,,Substructure Assembly Line 2,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
6,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
7,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
8,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,0.0,GravityBasedInstallation,,,,,,,,,
24,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,20.0,GravityBasedInstallation,,,,3.0,0.0,,,,
25,0.5,Multi-Purpose AHTS Vessel,Mobilize,72.0,160780.5,ACTION,20.0,GravityBasedInstallation,,,,,,,,,
27,,Multi-Purpose AHTS Vessel,Transit,3.0,13398.375,ACTION,23.0,GravityBasedInstallation,,,,,,,,,
28,,Multi-Purpose AHTS Vessel,Delay,1.0,4466.125,ACTION,24.0,GravityBasedInstallation,,,,,,,,,
32,,Multi-Purpose AHTS Vessel,Transit,1.0,4466.125,ACTION,25.0,GravityBasedInstallation,,,,,,,,,
33,,Multi-Purpose AHTS Vessel,Delay,1.0,4466.125,ACTION,26.0,GravityBasedInstallation,,,,,,,,,
37,,Multi-Purpose AHTS Vessel,Transit,4.571428571428571,20416.571428571428,ACTION,30.57142857142857,GravityBasedInstallation,,,,,,,,,
41,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,35.57142857142857,GravityBasedInstallation,,,,,,,,,
42,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,36.57142857142857,GravityBasedInstallation,,,,,,,,,
50,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,48.57142857142857,GravityBasedInstallation,,,,,,,,,
58,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,54.57142857142857,GravityBasedInstallation,,,,,,,,,
