,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
9,1.0,WTIV,Mobilize,168.0,2800000.0,ACTION,0.0,TurbineInstallation,,,,,,,,,
12,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4.0,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
14,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,8.0,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
15,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,12.0,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
17,,WTIV,Fasten Blade,1.5,25000.0,ACTION,13.5,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
18,,WTIV,Fasten Blade,1.5,25000.0,ACTION,15.0,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
20,,WTIV,Fasten Blade,1.5,25000.0,ACTION,16.5,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
26,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,20.5,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
30,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,24.5,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
34,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,28.5,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
35,,WTIV,Fasten Blade,1.5,25000.0,ACTION,30.0,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
39,,WTIV,Fasten Blade,1.5,25000.0,ACTION,31.5,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
40,,WTIV,Fasten Blade,1.5,25000.0,ACTION,33.0,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
44,,WTIV,Transit,12.0,200000.0,ACTION,45.0,TurbineInstallation,,,,,,,,,
47,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,47.0,TurbineInstallation,,,,,,,,,
48,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,47.43333333333333,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
53,,WTIV,Release Tower Section,3.0,50000.0,ACTION,50.43333333333333,TurbineInstallation,,,,,,,,,
54,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,51.18333333333333,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
76,,WTIV,Delay,28.0,466666.6666666667,ACTION,79.18333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
77,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,85.18333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
78,,WTIV,Delay,3.0,50000.0,ACTION,88.18333333333334,TurbineInstallation,,,,,,,,,
80,,WTIV,Release Tower Section,3.0,50000.0,ACTION,91.18333333333334,TurbineInstallation,,,,,,,,,
82,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,92.68333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
88,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,98.68333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
92,,WTIV,Release Nacelle,3.0,50000.0,ACTION,101.68333333333334,TurbineInstallation,,,,,,,,,
93,,WTIV,Reequip,1.0,16666.666666666668,ACTION,102.68333333333334,TurbineInstallation,,,,,,,,,
97,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,104.18333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
99,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,110.18333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
101,,WTIV,Reequip,1.0,16666.666666666668,ACTION,111.18333333333334,TurbineInstallation,,,,,,,,,
102,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,112.18333333333334,TurbineInstallation,,,,,,,,,
105,,WTIV,Lift Blade,1.5,25000.0,ACTION,113.68333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
107,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,117.18333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
108,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,118.18333333333334,TurbineInstallation,,,,,,,,,
109,,WTIV,Lift Blade,1.5,25000.0,ACTION,119.68333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
113,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,123.18333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
114,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,124.18333333333334,TurbineInstallation,,,,,,,,,
115,,WTIV,Lift Blade,1.5,25000.0,ACTION,125.68333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
116,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,129.18333333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
117,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,129.61666666666667,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
118,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,131.61666666666667,TurbineInstallation,,,,,,,,,
119,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,132.05,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
120,,WTIV,Release Tower Section,3.0,50000.0,ACTION,135.05,TurbineInstallation,,,,,,,,,
121,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,135.8,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
127,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,141.8,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
129,,WTIV,Release Tower Section,3.0,50000.0,ACTION,144.8,TurbineInstallation,,,,,,,,,
130,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,146.3,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
132,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,152.3,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
