,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
1,1.0,WTIV,Mobilize,168.0,2800000.0,ACTION,0.0,MonopileInstallation,,,,,,,,
10,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,12.0,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
20,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,20.0,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
31,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,32.0,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
35,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,40.0,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
49,,WTIV,Fasten Monopile,12.0,200000.0,ACTION,52.0,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
63,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,60.0,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
70,,WTIV,Transit,8.0,133333.33333333334,ACTION,68.0,MonopileInstallation,,,,,,,,
72,,WTIV,Delay,1.0,16666.666666666668,ACTION,69.0,MonopileInstallation,,,,,,,,
75,,WTIV,Transit,3.0,50000.0,ACTION,72.0,MonopileInstallation,,,,,,,,
77,,WTIV,Delay,1.0,16666.666666666668,ACTION,73.0,MonopileInstallation,,,,,,,,
79,,WTIV,Transit,1.0,16666.666666666668,ACTION,74.0,MonopileInstallation,,,,,,,,
82,,WTIV,Delay,1.0,16666.666666666668,ACTION,75.0,MonopileInstallation,,,,,,,,
84,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,77.0,MonopileInstallation,,,,,,,,
85,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,77.43333333333334,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
86,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,78.43333333333334,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
88,,WTIV,Release Monopile,3.0,50000.0,ACTION,81.43333333333334,MonopileInstallation,,,,,,,,
89,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,82.24967112980988,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
90,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,82.25467112980988,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
91,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,83.25467112980988,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
92,,WTIV,Drive Monopile,1.5,25000.0,ACTION,84.75467112980988,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
95,,WTIV,Delay,4.0,66666.66666666667,ACTION,88.75467112980988,MonopileInstallation,,,,,,,,
96,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,90.75467112980988,MonopileInstallation,,,,,,,,
100,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,91.75467112980988,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
102,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,92.75467112980988,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
103,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,96.75467112980988,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
104,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,97.18800446314322,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
109,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,99.18800446314322,MonopileInstallation,,,,,,,,
