CapEx Component,Monopiles + WTIV,GBF-Turbine Assembly Tow-out,GBF Tow-out + WTIV
Array System,"50,455,757","50,455,757","50,455,757"
Array System Installation,"58,448,335","58,448,335","58,448,335"
Export System,"358,235,289","358,235,289","358,235,289"
Export System Installation,"24,502,082","24,502,082","24,502,082"
Offshore Substation,"307,307,330","307,307,330","307,307,330"
Offshore Substation Installation,"5,095,600","5,095,600","5,095,600"
Project,"185,582,083","185,582,083","185,582,083"
Scour Protection,"6,618,000",0,0
Scour Protection Installation,"14,748,989",0,0
Soft,"576,480,426","459,769,385","512,845,320"
Substructure,"554,716,392","285,000,000","285,000,000"
Substructure Installation,"53,356,403","50,003,907","36,343,554"
Turbine,"1,275,000,000","1,275,000,000","1,275,000,000"
Turbine Installation,"95,293,403",0,"95,293,403"
Total,"3,565,840,090","3,059,399,769","3,194,108,755"
